"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"280","368","25"
"152","369","8.3399999999999999"
"345","370","25"
"182","371","33.329999999999998"
"3","372","100"
"271","373","50"
"22","374","20"
"145","375","50"
"124","376","100"
"124","377","100"
"145","378","50"
"114","379","100"
"399","380","33.329999999999998"
"133","381","100"
"68","382","25"
"100","2220","25"
"324","384","50"
"349","385","20"
"339","386","10"
"215","387","20"
"322","388",""
"97","389","50"
"167","390","50"
"124","391","100"
"124","392","100"
"163","393","25"
"271","394","50"
"145","395","33.32"
"335","396","16.66"
"125","397","100"
"22","398","50"
"106","399","50"
"374","2239","50"
"129","401","100"
"390","402","25"
"326","403","50"
"83","404","25"
"","405","18.25"
"112","406","50"
"326","407","50"
"401","408","50"
"335","409",""
"23","410","100"
"93","411","50"
"339","412","10"
"","413","5"
"68","414",""
"63","","50"
"68","416","33.329999999999998"
"271","417","16.66"
"163","418","50"
"113","419","50"
"269","420","25"
"198","421","12.5"
"206","421","12.5"
"207","423","100"
"68","424",""
"22","425","50"
"60","426","10"
"336","427","50"
"14","428","20"
"174","429","50"
"345","431","20"
"392","432","33.399999999999999"
"374","433","25"
"374","434","60"
"402","435","2.5"
"83","436","10"
"68","437",""
"401","438","50"
"223","439","100"
"301","440","100"
"145","441","50"
"381","442","25"
"319","443","25"
"19","444","2.5"
"68","445",""
"271","446","33.340000000000003"
"125","447","100"
"113","449","50"
"124","450","100"
"401","451","50"
"225","452","3.75"
"152","453","25"
"412","454","100"
"271","455","33.340000000000003"
"256","456","20"
"276","457","100"
"92","458","100"
"90","459","50"
"262","460","50"
"181","461","100"
"125","462","50"
"182","463","25"
"142","464","10"
"142","465","50"
"374","466","20"
"416","467","50"
"345","468","50"
"163","469","16.66"
"141","470","50"
"162","472","50"
"280","473","12.5"
"276","474","50"
"399","475","100"
"266","476","50"
"186","477","40"
"416","478","50"
"3","481","50"
"345","482","25"
"152","483","33.329999999999998"
"223","484","50"
"371","485","16.66"
"389","486","15"
"223","487","100"
"276","488","100"
"145","489","50"
"276","490","50"
"168","491","50"
"399","492","100"
"416","493","50"
"365","494","25"
"113","495","50"
"112","496","3.75"
"336","497","50"
"145","498","50"
"14","499","50"
"385","503","10"
"225","501","50"
"223","500","25"
"276","502","10"
"260","504","33.329999999999998"
"345","505","25"
"401","506","100"
"36","507","33.329999999999998"
"114","508","100"
"145","509","50"
"186","510","50"
"186","511","33.329999999999998"
"22","512","50"
"124","513","100"
"19","514","80"
"88","515","25"
"383","516","3.75"
"256","517","10"
"186","683","75"
"186","519","33.329999999999998"
"182","520","12.5"
"37","521","50"
"401","522","100"
"280","523","12.5"
"399","524","100"
"38","525","5"
"223","526","100"
"7","527","100"
"182","528","33.329999999999998"
"152","529","25"
"183","530","12.5"
"255","531","20"
"407","532","100"
"271","533","50"
"271","534","50"
"119","535","100"
"283","536","100"
"92","537","100"
"322","538","50"
"416","538","25"
"271","540","37.5"
"401","541","33"
"68","542",""
"349","543","30"
"181","544","100"
"129","545","100"
"75","546","50"
"413","547","46"
"374","548","10"
"124","549","100"
"262","550","60"
"113","551","50"
"290","552","3"
"75","553","10"
"223","553","50"
"102","555","7.5"
"22","556","20"
"","557","50"
"51","557","75"
"342","559","20.829999999999998"
"142","560","25"
"144","561","10"
"223","562","100"
"182","563","50"
"186","564","50"
"374","565","25"
"174","566","6.7000000000000002"
"301","567","100"
"145","568","50"
"159","569","16.66"
"119","570","20"
"145","571","50"
"68","572",""
"145","573","25"
"37","575","20"
"182","576","33.329999999999998"
"280","577","75"
"326","578","50"
"142","579","50"
"332","580","100"
"374","582","16.66"
"197","581","50"
"262","583",""
"68","584","48.75"
"256","585","5"
"174","586","10"
"256","587","15"
"191","588","51"
"152","589","5"
"174","590","13.300000000000001"
"113","591","50"
"389","592","5"
"371","593","10"
"2","594","10"
"22","595","50"
"5","596","50"
"362","597","21.875"
"416","598","33.299999999999997"
"68","599","25"
"383","600","17"
"354","601","10"
"36","602","16.66"
"85","603","50"
"381","604","25"
"19","605","25"
"197","606","50"
"374","607","50"
"22","608","25"
"242","609","50"
"238","610","25"
"411","611","25"
"113","612","50"
"412","613","100"
"152","614","25"
"182","615","50"
"152","616","25"
"92","617","100"
"97","618","33.329999999999998"
"336","619","50"
"5","620","25"
"255","621","5"
"90","622",""
"207","623","50"
"407","624","50"
"383","625","15"
"157","626","50"
"145","627","50"
"186","628","50"
"124","629","50"
"223","630","100"
"108","631","100"
"152","632","25"
"399","633","50"
"416","634","50"
"70","635","50"
"145","636","50"
"28","637","25"
"152","638","20"
"412","639","100"
"198","640","20"
"384","642","10"
"152","641","25"
"407","643","50"
"332","644","100"
"48","645","12.5"
"152","646","25"
"223","647","100"
"374","648","33.340000000000003"
"271","649","50"
"223","650","100"
"152","651","25"
"231","652","50"
"217","653","50"
"223","654","25"
"159","655","16.66"
"166","655","16.66"
"336","657","50"
"108","658","25"
"152","659","33.329999999999998"
"114","660","100"
"","661",""
"223","662","50"
"271","663","50"
"22","664","50"
"353","665",""
"114","666","100"
"9","667","12.5"
"157","668","25"
"145","669","50"
"124","670","100"
"319","671","25"
"","","75"
"372","672","80"
"85","6","50"
"3","674","50"
"152","675","20.829999999999998"
"68","676","25"
"152","677","100"
"106","677","15"
"182","679","50"
"401","680","50"
"383","681","10"
"92","682","25"
"186","683","50"
"381","684","25"
"276","685","50"
"118","686","50"
"414","687","15"
"40","688","25"
"14","689","50"
"75","690","100"
"148","691","25"
"399","692","50"
"66","693","16.670000000000002"
"401","694","50"
"383","695","100"
"288","696","50"
"271","697","20"
"223","698","25"
"276","699","100"
"85","700","100"
"113","701","50"
"157","702","50"
"237","703","16.66"
"392","704",""
"392","705",""
"392","706","2.5"
"399","707","25"
"255","708","15"
"85","709","50"
"262","710",""
"113","711","50"
"223","712","25"
"345","713","7.5"
"97","714","50"
"163","715","50"
"68","716","25"
"28","717","12.5"
"145","718","50"
"36","719","33.329999999999998"
"322","720","20"
"90","721","100"
"399","722","33.329999999999998"
"119","723","50"
"142","724","50"
"142","725","50"
"19","726","33.329999999999998"
"19","727","100"
"207","728","100"
"223","729","50"
"19","730","50"
"335","731",""
"97","732","33.329999999999998"
"28","733","12.5"
"85","734","50"
"372","735","60"
"355","736","25"
"60","737","9"
"37","738","30"
"383","739","50"
"124","740","50"
"119","741","50"
"322","741","50"
"390","743","25"
"335","744","10"
"167","745","10"
"112","746","3.75"
"217","747","16.66"
